Parameter,Description,Min,Max,N_values,Input_file,Line_NO
wse,Wind stirring efficiency,0.2,0.8,4,Okareka.par,12
vmc,Vertical mixing coefficient,100,700,4,Okareka.par,15
lec,Light extinction coefficient,0.1,0.25,4,Okareka.cfg,7
